Subject,Item,VerbType,Position,RT,NPPredictability
Subj4,Item5,PrefV,NP,147.19 ,0.30 
Subj4,Item5,PrefV,NP_1,139.23 ,0.30 
Subj4,Item5,PrefV,NP_2,243.19 ,0.30 
Subj4,Item6,NonPrefV,Verb,156.94 ,0.20 
Subj4,Item6,NonPrefV,NP,132.20 ,0.20 
Subj4,Item6,NonPrefV,NP_1,220.90 ,0.20 
Subj4,Item6,NonPrefV,NP_2,321.58 ,0.20 
Subj4,Item7,AspV,Verb,286.60 ,0.00 
Subj4,Item7,AspV,NP,144.54 ,0.00 
Subj4,Item7,AspV,NP_1,200.58 ,0.00 
Subj4,Item7,AspV,NP_2,461.87 ,0.00 
Subj4,Item8,PrefV,Verb,190.64 ,0.10 
Subj4,Item8,PrefV,NP,164.65 ,0.10 
Subj4,Item8,PrefV,NP_1,156.03 ,0.10 
Subj4,Item8,PrefV,NP_2,147.35 ,0.10 
Subj4,Item9,NonPrefV,Verb,193.74 ,0.10 
Subj4,Item9,NonPrefV,NP,135.05 ,0.10 
Subj4,Item9,NonPrefV,NP_1,143.76 ,0.10 
Subj4,Item9,NonPrefV,NP_2,119.71 ,0.10 
Subj4,Item10,AspV,Verb,216.24 ,0.00 
Subj4,Item10,AspV,NP,140.97 ,0.00 
Subj4,Item10,AspV,NP_1,324.97 ,0.00 
Subj4,Item10,AspV,NP_2,165.64 ,0.00 
Subj4,Item11,PrefV,Verb,398.21 ,0.50 
Subj4,Item11,PrefV,NP,443.58 ,0.50 
Subj4,Item11,PrefV,NP_1,327.58 ,0.50 
Subj4,Item11,PrefV,NP_2,439.56 ,0.50 
Subj4,Item12,NonPrefV,Verb,281.37 ,0.40 
Subj4,Item12,NonPrefV,NP,300.05 ,0.40 
Subj4,Item12,NonPrefV,NP_1,382.04 ,0.40 
Subj4,Item12,NonPrefV,NP_2,316.72 ,0.40 
Subj4,Item13,AspV,Verb,401.84 ,0.00 
Subj4,Item13,AspV,NP,447.12 ,0.00 
Subj4,Item13,AspV,NP_1,1195.13 ,0.00 
Subj4,Item13,AspV,NP_2,489.14 ,0.00 
Subj4,Item14,PrefV,Verb,300.87 ,0.35 
Subj4,Item14,PrefV,NP,126.21 ,0.35 
Subj4,Item14,PrefV,NP_1,198.87 ,0.35 
Subj4,Item14,PrefV,NP_2,156.28 ,0.35 
Subj4,Item15,NonPrefV,Verb,290.59 ,0.00 
Subj4,Item15,NonPrefV,NP,180.60 ,0.00 
Subj4,Item15,NonPrefV,NP_1,283.28 ,0.00 
Subj4,Item15,NonPrefV,NP_2,253.95 ,0.00 
Subj4,Item16,AspV,Verb,158.37 ,0.05 
Subj4,Item16,AspV,NP,133.69 ,0.05 
Subj4,Item16,AspV,NP_1,142.34 ,0.05 
Subj4,Item16,AspV,NP_2,182.37 ,0.05 
Subj4,Item17,PrefV,Verb,232.34 ,0.10 
Subj4,Item17,PrefV,NP,172.34 ,0.10 
Subj4,Item17,PrefV,NP_1,338.99 ,0.10 
Subj4,Item17,PrefV,NP_2,339.03 ,0.10 
Subj4,Item18,NonPrefV,Verb,290.91 ,0.05 
Subj4,Item18,NonPrefV,NP,244.88 ,0.05 
Subj4,Item18,NonPrefV,NP_1,264.88 ,0.05 
Subj4,Item18,NonPrefV,NP_2,220.27 ,0.05 
Subj4,Item19,AspV,Verb,932.72 ,0.20 
Subj4,Item19,AspV,NP,284.84 ,0.20 
Subj4,Item19,AspV,NP_1,222.80 ,0.20 
Subj4,Item19,AspV,NP_2,259.43 ,0.20 
Subj4,Item20,PrefV,Verb,278.42 ,0.40 
Subj4,Item20,PrefV,NP,168.47 ,0.40 
Subj4,Item20,PrefV,NP_1,239.12 ,0.40 
Subj4,Item20,PrefV,NP_2,179.11 ,0.40 
Subj4,Item21,NonPrefV,Verb,253.89 ,0.00 
Subj4,Item21,NonPrefV,NP,257.23 ,0.00 
Subj4,Item21,NonPrefV,NP_1,244.57 ,0.00 
